id,city_name,restaurant_url,restaurant_name,restaurant_cuisines,restaurant_locality,restaurant_rating,cost_for_two,count_of_ratings,offers
260,virudhunagar,https://www.swiggy.com/restaurants/burma-kadai-highway-burma-colony-fathimanagar-virudhunagar-257071,BURMA KADAI ( Highway),"Chinese, North Indian, South Indian, Ice Cream, Biryani",Fathimanagar,4.2,₹499 for two,1K+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
261,virudhunagar,https://www.swiggy.com/restaurants/bismillah-hotel-gt-nagar-fathimanagar-virudhunagar-232304,Bismillah Hotel,"Chinese, North Indian, South Indian, Biryani",Fathimanagar,3.5,₹99 for two,1K+ ratings,FLAT ₹125 OFF; 50% OFF UPTO ₹100; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
262,virudhunagar,https://www.swiggy.com/restaurants/hotel-burma-kadai-municipal-office-road-fathimanagar-virudhunagar-158942,Hotel Burma Kadai,"Chinese, North Indian, South Indian, Biryani",Fathimanagar,4.2,₹500 for two,5K+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
263,virudhunagar,https://www.swiggy.com/restaurants/sakthis-scoops-n-smiles-assss-road-anna-nagar-virudhunagar-234265,Sakthi's Scoops N Smiles,"Desserts, Burgers, Ice Cream, Pizzas",Anna Nagar,4,₹199 for two,1K+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
264,veraval,https://www.swiggy.com/restaurants/la-pinoz-pizza-dev-ashish-complex-veraval-veraval-675356,La Pino'z Pizza,"Pizzas, Pastas, Italian, Desserts, Beverages",Veraval,3.7,₹400 for two,100+ ratings,50% OFF UPTO ₹100; FLAT ₹125 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
265,virudhunagar,https://www.swiggy.com/restaurants/dindigul-thalappakatti-gt-nagar-fathimanagar-virudhunagar-263146,Dindigul Thalappakatti,"Biryani, Barbecue, South Indian, Chinese, North Indian",Fathimanagar,4.1,₹600 for two,1K+ ratings,40% OFF UPTO ₹80; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
266,virudhunagar,https://www.swiggy.com/restaurants/rathinas-hot-bakes-1-link-road-fathimanagar-virudhunagar-158038,Rathinas Hot Bakes-1,"Burgers, Ice Cream, Pizzas, Sweets",Fathimanagar,4.2,₹300 for two,1K+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
267,virudhunagar,https://www.swiggy.com/restaurants/aasife-biriyani-krishnamachari-rd-fathimanagar-virudhunagar-700641,Aasife Biriyani,"Chinese, Biryani",Fathimanagar,4,₹500 for two,100+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
268,veraval,https://www.swiggy.com/restaurants/tea-post-somnath-highway-veraval-city-veraval-719003,Tea Post,Beverages,Veraval City,,₹300 for two,,30% OFF UPTO ₹75; FLAT 30% OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
269,virudhunagar,https://www.swiggy.com/restaurants/burma-bakers-municipal-office-road-fathimanagar-virudhunagar-158926,Burma Bakers,"Pastas, Chinese, Burgers, Ice Cream, Pizzas",Fathimanagar,4.2,₹250 for two,1K+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
270,vidisha,https://www.swiggy.com/restaurants/avyukt-restaurant-sanchi-road-baripura-vidisha-317832,Avyukt Restaurant,"North Indian, South Indian, Chinese",Baripura,4.1,₹200 for two,100+ ratings,10% OFF UPTO ₹100; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
